101231001	101231001	diaoyudao	钓鱼岛	diaoyudao	钓鱼岛	fujian	福建
110000	101010100	beijing	北京	beijing	北京	beijing	北京
110101	101011600	dongcheng	东城	beijing	北京	beijing	北京
110102	101011700	xicheng	西城	beijing	西城	beijing	北京
110105	101010300	chaoyang	朝阳	beijing	北京	beijing	北京
110106	101010900	fengtai	丰台	beijing	北京	beijing	北京
110107	101011000	shijingshan	石景山	beijing	北京	beijing	北京
110108	101010200	haidian	海淀	beijing	北京	beijing	北京
110109	101011400	mentougou	门头沟	beijing	北京	beijing	北京
110111	101011200	fangshan	房山	beijing	北京	beijing	北京
110112	101010600	tongzhou	通州	beijing	北京	beijing	北京
110113	101010400	shunyi	顺义	beijing	北京	beijing	北京
110114	101010700	changping	昌平	beijing	北京	beijing	北京
110115	101011100	daxing	大兴	beijing	北京	beijing	北京
110116	101010500	huairou	怀柔	beijing	北京	beijing	北京
110117	101011500	pinggu	平谷	beijing	北京	beijing	北京
110118	101011300	miyun	密云	beijing	北京	beijing	北京
110119	101010800	yanqing	延庆	beijing	北京	beijing	北京
120000	101030100	tianjin	天津	tianjin	天津	tianjin	天津
120101	101030800	heping	和平	heping	和平	tianjin	天津
120102	101031200	hedong	河东	hedong	河东	tianjin	天津
120103	101031300	hexi	河西	hexi	河西	tianjin	天津
120104	101031500	nankai	南开	nankai	南开	tianjin	天津
120105	101031600	hebei	河北区	hebei	河北	tianjin	天津
120106	101031700	hongqiao	红桥	hongqiao	红桥	tianjin	天津
120110	101030400	dongli	东丽	tianjin	天津	tianjin	天津
120111	101030500	xiqing	西青	tianjin	天津	tianjin	天津
120112	101031000	jinnan	津南	tianjin	天津	tianjin	天津
120113	101030600	beichen	北辰	tianjin	天津	tianjin	天津
120114	101030200	wuqing	武清	tianjin	天津	tianjin	天津
120115	101030300	baodi	宝坻	tianjin	天津	tianjin	天津
120116	101031100	binhaixinqu	滨海新区	tianjin	天津	tianjin	天津
120117	101030700	ninghe	宁河	tianjin	天津	tianjin	天津
120118	101030900	jinghai	静海	tianjin	天津	tianjin	天津
120119	101031400	jizhou	蓟州	tianjin	天津	tianjin	天津
130100	101090101	shijiazhuang	石家庄	shijiazhuang	石家庄	hebei	河北
130102	101090119	changan	长安	shijiazhuang	石家庄	hebei	河北
130104	101090120	qiaoxi	桥西	shijiazhuang	石家庄	hebei	河北
130105	101090121	xinhua	新华	shijiazhuang	石家庄	hebei	河北
130107	101090122	jingxingkuang	井陉矿	shijiazhuang	石家庄	hebei	河北
130108	101090123	yuhua	裕华	shijiazhuang	石家庄	hebei	河北
130109	101090115	gaocheng	藁城	shijiazhuang	石家庄	hebei	河北
130110	101090118	luquan	鹿泉	shijiazhuang	石家庄	hebei	河北
130111	101090104	luancheng	栾城	shijiazhuang	石家庄	hebei	河北
130121	101090102	jingxing	井陉	shijiazhuang	石家庄	hebei	河北
130123	101090103	zhengding	正定	shijiazhuang	石家庄	hebei	河北
130125	101090105	xingtang	行唐	shijiazhuang	石家庄	hebei	河北
130126	101090106	lingshou	灵寿	shijiazhuang	石家庄	hebei	河北
130127	101090107	gaoyi	高邑	shijiazhuang	石家庄	hebei	河北
130128	101090108	shenze	深泽	shijiazhuang	石家庄	hebei	河北
130129	101090109	zanhuang	赞皇	shijiazhuang	石家庄	hebei	河北
130130	101090110	wuji	无极	shijiazhuang	石家庄	hebei	河北
130131	101090111	pingshan	平山	shijiazhuang	石家庄	hebei	河北
130132	101090112	yuanshi	元氏	shijiazhuang	石家庄	hebei	河北
130133	101090113	zhaoxian	赵县	shijiazhuang	石家庄	hebei	河北
130181	101090114	xinji	辛集	shijiazhuang	石家庄	hebei	河北
130183	101090116	jinzhou	晋州	shijiazhuang	石家庄	hebei	河北
130184	101090117	xinle	新乐	shijiazhuang	石家庄	hebei	河北
130200	101090501	tangshan	唐山	tangshan	唐山	hebei	河北
130202	101090513	lunan	路南	tangshan	唐山	hebei	河北
130203	101090514	lubei	路北	tangshan	唐山	hebei	河北
130204	101090515	guye	古冶	tangshan	唐山	hebei	河北
130205	101090516	kaiping	开平	tangshan	唐山	hebei	河北
130207	101090502	fengnan	丰南	tangshan	唐山	hebei	河北
130208	101090503	fengrun	丰润	tangshan	唐山	hebei	河北
130209	101090509	caofeidian	曹妃甸	tangshan	唐山	hebei	河北
130224	101090505	luannan	滦南	tangshan	唐山	hebei	河北
130225	101090506	leting	乐亭	tangshan	唐山	hebei	河北
130227	101090507	qianxi	迁西	tangshan	唐山	hebei	河北
130229	101090508	yutian	玉田	tangshan	唐山	hebei	河北
130281	101090510	zunhua	遵化	tangshan	唐山	hebei	河北
130283	101090511	qianan	迁安	tangshan	唐山	hebei	河北
130284	101090504	luanxian	滦县	tangshan	唐山	hebei	河北
130300	101091101	qinhuangdao	秦皇岛	qinhuangdao	秦皇岛	hebei	河北
130302	101091107	haigang	海港	qinhuangdao	秦皇岛	hebei	河北
130303	101091108	shanhaiguan	山海关	qinhuangdao	秦皇岛	hebei	河北
130304	101091106	beidaihe	北戴河	qinhuangdao	秦皇岛	hebei	河北
130306	101091104	funing	抚宁	qinhuangdao	秦皇岛	hebei	河北
130321	101091102	qinglong	青龙	qinhuangdao	秦皇岛	hebei	河北
130322	101091103	changli	昌黎	qinhuangdao	秦皇岛	hebei	河北
130324	101091105	lulong	卢龙	qinhuangdao	秦皇岛	hebei	河北
130400	101091001	handan	邯郸	handan	邯郸	hebei	河北
130402	101091017	hanshan	邯山	handan	邯郸	hebei	河北
130403	101091018	congtai	丛台	handan	邯郸	hebei	河北
130404	101091019	fuxing	复兴	handan	邯郸	hebei	河北
130406	101091002	fengfeng	峰峰	handan	邯郸	hebei	河北
130407	101091008	feixiang	肥乡	handan	邯郸	hebei	河北
130408	101091009	yongnian	永年	handan	邯郸	hebei	河北
130423	101091003	linzhang	临漳	handan	邯郸	hebei	河北
130424	101091004	chengan	成安	handan	邯郸	hebei	河北
130425	101091005	daming	大名	handan	邯郸	hebei	河北
130426	101091006	shexian	涉县	handan	邯郸	hebei	河北
130427	101091007	cixian	磁县	handan	邯郸	hebei	河北
130430	101091010	qiuxian	邱县	handan	邯郸	hebei	河北
130431	101091011	jize	鸡泽	handan	邯郸	hebei	河北
130432	101091012	guangping	广平	handan	邯郸	hebei	河北
130433	101091013	guantao	馆陶	handan	邯郸	hebei	河北
130434	101091014	weixian	魏县	handan	邯郸	hebei	河北
130435	101091015	quzhou	曲周	handan	邯郸	hebei	河北
130481	101091016	wuan	武安	handan	邯郸	hebei	河北
130500	101090901	xingtai	邢台	xingtai	邢台	hebei	河北
130502	101090903	qiaodong	桥东	xingtai	邢台	hebei	河北
130503	101090919	qiaoxi	桥西	xingtai	邢台	hebei	河北
130522	101090902	lincheng	临城	xingtai	邢台	hebei	河北
130523	101090904	neiqiu	内丘	xingtai	邢台	hebei	河北
130524	101090905	baixiang	柏乡	xingtai	邢台	hebei	河北
130525	101090906	longyao	隆尧	xingtai	邢台	hebei	河北
130526	101090918	renxian	任县	xingtai	邢台	hebei	河北
130527	101090907	nanhe	南和	xingtai	邢台	hebei	河北
130528	101090908	ningjin	宁晋	xingtai	邢台	hebei	河北
130529	101090909	julu	巨鹿	xingtai	邢台	hebei	河北
130530	101090910	xinhe	新河	xingtai	邢台	hebei	河北
130531	101090911	guangzong	广宗	xingtai	邢台	hebei	河北
130532	101090912	pingxiang	平乡	xingtai	邢台	hebei	河北
130533	101090913	weixian	威县	xingtai	邢台	hebei	河北
130534	101090914	qinghe	清河	xingtai	邢台	hebei	河北
130535	101090915	linxi	临西	xingtai	邢台	hebei	河北
130581	101090916	nangong	南宫	xingtai	邢台	hebei	河北
130582	101090917	shahe	沙河	xingtai	邢台	hebei	河北
130600	101090201	baoding	保定	baoding	保定	hebei	河北
130602	101090208	jingxiu	竞秀	baoding	保定	hebei	河北
130606	101090213	lianchi	莲池	baoding	保定	hebei	河北
130607	101090202	mancheng	满城	baoding	保定	hebei	河北
130608	101090224	qingyuan	清苑	baoding	保定	hebei	河北
130609	101090204	xushui	徐水	baoding	保定	hebei	河北
130623	101090222	laishui	涞水	baoding	保定	hebei	河北
130624	101090203	fuping	阜平	baoding	保定	hebei	河北
130626	101090223	dingxing	定兴	baoding	保定	hebei	河北
130627	101090205	tangxian	唐县	baoding	保定	hebei	河北
130628	101090206	gaoyang	高阳	baoding	保定	hebei	河北
130629	101091202	rongcheng	容城	保定	保定	hebei	河北
130630	101090209	laiyuan	涞源	baoding	保定	hebei	河北
130631	101090210	wangdu	望都	baoding	保定	hebei	河北
130632	101091203	anxin	安新	baoding	保定	hebei	河北
130633	101090212	yixian	易县	baoding	保定	hebei	河北
130634	101090214	quyang	曲阳	baoding	保定	hebei	河北
130635	101090215	lixian	蠡县	baoding	保定	hebei	河北
130636	101090216	shunping	顺平	baoding	保定	hebei	河北
130637	101090225	boye	博野	baoding	保定	hebei	河北
130638	101091204	xiongxian	雄县	baoding	保定	hebei	河北
130681	101090218	zhuozhou	涿州	baoding	保定	hebei	河北
130682	101090219	dingzhou	定州	baoding	保定	hebei	河北
130683	101090220	anguo	安国	baoding	保定	hebei	河北
130684	101090221	gaobeidian	高碑店	baoding	保定	hebei	河北
130700	101090301	zhangjiakou	张家口	zhangjiakou	张家口	hebei	河北
130702	101090315	qiaodong	桥东	zhangjiakou	张家口	hebei	河北
130703	101090316	qiaoxi	桥西	zhangjiakou	张家口	hebei	河北
130705	101090302	xuanhua	宣化	zhangjiakou	张家口	hebei	河北
130706	101090317	xiahuayuan	下花园	zhangjiakou	张家口	hebei	河北
130708	101090310	wanquan	万全	zhangjiakou	张家口	hebei	河北
130709	101090314	chongli	崇礼	zhangjiakou	张家口	hebei	河北
130722	101090303	zhangbei	张北	zhangjiakou	张家口	hebei	河北
130723	101090304	kangbao	康保	zhangjiakou	张家口	hebei	河北
130724	101090305	guyuan	沽源	zhangjiakou	张家口	hebei	河北
130725	101090306	shangyi	尚义	zhangjiakou	张家口	hebei	河北
130726	101090307	yuxian	蔚县	zhangjiakou	张家口	hebei	河北
130727	101090308	yangyuan	阳原	zhangjiakou	张家口	hebei	河北
130728	101090309	huaian	怀安	zhangjiakou	张家口	hebei	河北
130730	101090311	huailai	怀来	zhangjiakou	张家口	hebei	河北
130731	101090312	zhuolu	涿鹿	zhangjiakou	张家口	hebei	河北
130732	101090313	chicheng	赤城	zhangjiakou	张家口	hebei	河北
130800	101090402	chengde	承德	chengde	承德	hebei	河北
130802	101090401	shuangqiao	双桥	chengde	承德	hebei	河北
130803	101090411	shuangluan	双滦	chengde	承德	hebei	河北
130804	101090412	yingshouyingzikuang	鹰手营子矿	chengde	承德	hebei	河北
130821	101090403	chengdexian	承德县	chengde	承德	hebei	河北
130822	101090404	xinglong	兴隆	chengde	承德	hebei	河北
130824	101090406	luanping	滦平	chengde	承德	hebei	河北
130825	101090407	longhua	隆化	chengde	承德	hebei	河北
130826	101090408	fengning	丰宁	chengde	承德	hebei	河北
130827	101090409	kuancheng	宽城	chengde	承德	hebei	河北
130828	101090410	weichang	围场	chengde	承德	hebei	河北
130881	101090405	pingquan	平泉	chengde	承德	hebei	河北
130900	101090701	cangzhou	沧州	cangzhou	沧州	hebei	河北
130902	101090715	xinhua	新华	cangzhou	沧州	hebei	河北
130903	101090717	yunhe	运河	cangzhou	沧州	hebei	河北
130921	101090716	cangxian	沧县	cangzhou	沧州	hebei	河北
130922	101090702	qingxian	青县	cangzhou	沧州	hebei	河北
130923	101090703	dongguang	东光	cangzhou	沧州	hebei	河北
130924	101090704	haixing	海兴	cangzhou	沧州	hebei	河北
130925	101090705	yanshan	盐山	cangzhou	沧州	hebei	河北
130926	101090706	suning	肃宁	cangzhou	沧州	hebei	河北
130927	101090707	nanpi	南皮	cangzhou	沧州	hebei	河北
130928	101090708	wuqiao	吴桥	cangzhou	沧州	hebei	河北
130929	101090709	xianxian	献县	cangzhou	沧州	hebei	河北
130930	101090710	mengcun	孟村	cangzhou	沧州	hebei	河北
130981	101090711	botou	泊头	cangzhou	沧州	hebei	河北
130982	101090712	renqiu	任丘	cangzhou	沧州	hebei	河北
130983	101090713	huanghua	黄骅	cangzhou	沧州	hebei	河北
130984	101090714	hejian	河间	cangzhou	沧州	hebei	河北
131000	101090601	langfang	廊坊	langfang	廊坊	hebei	河北
131002	101090610	anci	安次	langfang	廊坊	hebei	河北
131003	101090611	guangyang	广阳	langfang	廊坊	hebei	河北
131022	101090602	guan	固安	langfang	廊坊	hebei	河北
131023	101090603	yongqing	永清	langfang	廊坊	hebei	河北
131024	101090604	xianghe	香河	langfang	廊坊	hebei	河北
131025	101090605	dacheng	大城	langfang	廊坊	hebei	河北
131026	101090606	wenan	文安	langfang	廊坊	hebei	河北
131028	101090607	dachang	大厂	langfang	廊坊	hebei	河北
131081	101090608	bazhou	霸州	langfang	廊坊	hebei	河北
131082	101090609	sanhe	三河	langfang	廊坊	hebei	河北
131100	101090801	hengshui	衡水	hengshui	衡水	hebei	河北
131102	101090812	taocheng	桃城	hengshui	衡水	hebei	河北
131103	101090810	jizhou	冀州	hengshui	衡水	hebei	河北
131121	101090802	zaoqiang	枣强	hengshui	衡水	hebei	河北
131122	101090803	wuyi	武邑	hengshui	衡水	hebei	河北
131123	101090804	wuqiang	武强	hengshui	衡水	hebei	河北
131124	101090805	raoyang	饶阳	hengshui	衡水	hebei	河北
131125	101090806	anping	安平	hengshui	衡水	hebei	河北
131126	101090807	gucheng	故城	hengshui	衡水	hebei	河北
131127	101090808	jingxian	景县	hengshui	衡水	hebei	河北
131128	101090809	fucheng	阜城	hengshui	衡水	hebei	河北
131182	101090811	shenzhou	深州	hengshui	衡水	hebei	河北
140100	101100101	taiyuan	太原	taiyuan	太原	shanxi	山西
140105	101100107	xiaodianqu	小店区	taiyuan	太原	shanxi	山西
140106	101100108	yingze	迎泽	taiyuan	太原	shanxi	山西
140107	101100109	xinghualing	杏花岭	taiyuan	太原	shanxi	山西
140108	101100106	jiancaopingqu	尖草坪区	taiyuan	太原	shanxi	山西
140109	101100110	wanbailin	万柏林	taiyuan	太原	shanxi	山西
140110	101100111	jinyuan	晋源	taiyuan	太原	shanxi	山西
140121	101100102	qingxu	清徐	taiyuan	太原	shanxi	山西
140122	101100103	yangqu	阳曲	taiyuan	太原	shanxi	山西
